,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
3337,23514652,SÃO PAULO - Penha3,CEMADEN,P,-46.521,-23.519,,2014-12-09
3338,23514655,SÃO PAULO - Penha,CEMADEN,P,-46.553,-23.518,,2014-12-09
3339,23524667,SÃO PAULO - Barra Funda,CEMADEN,P,-46.66586,-23.52184,,2014-12-09
3340,23484680,BARUERI - ,CEMADEN,P,-46.805,-23.4864,,2014-12-10
3341,23574652,SÃO PAULO - Vila Carrão,CEMADEN,P,-46.526,-23.575,,2014-12-10
3342,24475343,Toledo,Simepar,M,-53.7196,-24.7834,516.4,1997-07-23
3343,22515005,Ibirarema,Duke,H,-50.0537,-22.5159,,2016-09-29
3344,23484637,ITAQUAQUECETUBA - Vila Bartira,CEMADEN,P,-46.37,-23.4811,,2014-12-09
3345,6034425,COLINAS - CentrodeEspecialidaesOdontologicas,CEMADEN,P,-44.24784,-6.03192,,2015-08-17
3346,4144411,COROATÁ - Almoxarifado Municipal,CEMADEN,P,-44.1114,-4.13594,,2015-08-17
3347,22744337,BELFORD ROXO- Vila Pauline,CEMADEN,P,-43.366,-22.738,,2015-05-18
3348,23745094,Reservatório Fiú,Simepar,H,-50.94049,-23.74906,430.0,2015-09-01
3349,25215130,Guarapuava,Simepar,M,-51.4935,-25.3845,1070.0,1997-06-01
3350,24185355,Palotina,Simepar,M,-53.9008,-24.3129,303.0,1997-06-01
3351,25245437,Foz do Iguaçu,Simepar,M,-54.6167,-25.4059,232.0,1997-07-19
3352,3744525,BELA VISTA DO MARANHÃO - Rua das Palmeiras,CEMADEN,P,-45.25047,-3.742,,2015-08-17
3353,23445317,Umuarama,Simepar,M,-53.30766,-23.75066,480.0,1997-06-01
3354,25294832,Guaraqueçaba Sede,Simepar,P,-48.32014,-25.29642,14.0,2012-12-19
3355,25335129,Entre Rios,Simepar,M,-51.4884,-25.5459,1095.0,2001-01-17
3356,25474946,Lapa,Simepar,M,-49.7598,-25.7817,909.8,1997-06-01
3357,23185109,Londrina,Simepar,M,-51.1647,-23.3595,585.0,1997-06-01
3358,23275159,Maringá,Simepar,M,-51.9881,-23.4483,570.0,1998-10-04
3359,23055226,Paranavaí,Simepar,M,-52.4438,-23.0916,480.0,1997-06-01
3360,26075241,Pato Branco,Simepar,M,-52.6514,-26.1229,721.8,1997-06-01
3361,24045415,Guaira,Simepar,M,-54.26151,-24.07487,227.9,1997-07-24
3362,3494525,MONÇÃO - PrefeituraMunicipal,CEMADEN,P,-45.25196,-3.49137,,2015-08-17
3363,23005002,Cambará,Simepar,M,-50.0362,-23.0025,450.0,1997-06-01
3364,22435310,Porto São José,Duke,H,-53.1036,-22.4306,,2015-06-02
3365,5814612,GRAJAÚ - Centro de Saúde Raimundo Nonato Advincula de Barros,CEMADEN,P,-46.12208,-5.80975,,2015-08-17
3366,3634455,MATÕES DO NORTE - Centro Administrativo,CEMADEN,P,-44.55179,-3.63165,,2015-08-17
3367,23694685,ITAPECERICA DA SERRA - ,CEMADEN,P,-46.8507,-23.6989,,2014-12-10
3368,22124766,ANALÂNDIA - Analandia01,CEMADEN,P,-47.66357,-22.12454,,2015-09-03
3369,23164774,CERQUILHO - Centro,CEMADEN,P,-47.74168,-23.1588,,2015-09-18
3370,23054784,LARANJAL PAULISTA - Centro,CEMADEN,P,-47.83761,-23.05236,,2015-09-18
3371,23474678,OSASCO - ,CEMADEN,P,-46.7801,-23.4749,,2014-12-10
3372,23624659,SÃO PAULO - São João Clímaco,CEMADEN,P,-46.583,-23.622,,2014-12-10
3373,24494922,ITAPIRAPUÃ PAULISTA - null,CEMADEN,P,-49.2265,-24.4916,,2014-12-11
3374,24314914,BOM SUCESSO DE ITARARÉ - null,CEMADEN,P,-49.1427,-24.3195,,2014-12-11
3375,22284592,POUSO ALEGRE - ,CEMADEN,P,-45.9205,-22.2883,,2014-12-11
3376,11313815,ITAPICURU - ITAPICURU,CEMADEN,P,-38.15993,-11.31537,,2014-12-11
3377,23594665,SÃO PAULO - Vila Clementino,CEMADEN,P,-46.65,-23.599,,2014-12-11
3378,23584630,SUZANO - ,CEMADEN,P,-46.3047,-23.5878,,2014-12-11
3379,24584859,IPORANGA - null,CEMADEN,P,-48.5947,-24.5855,,2014-12-11
3380,24754850,BARRA DO TURVO - null,CEMADEN,P,-48.5055,-24.7579,,2014-12-12
3381,11483940,RETIROLÂNDIA - RETIROLÂNDIA,CEMADEN,P,-39.40436,-11.48027,,2014-12-12
3382,11553931,CONCEIÇÃO DO COITÉ - CONCEIÇÃO DO COITÉ,CEMADEN,P,-39.31528,-11.55375,,2014-12-12
3383,23924700,JUQUITIBA - ,CEMADEN,P,-47.0053,-23.9291,,2014-12-16
3384,23644660,SÃO PAULO - Jardim Imperador,CEMADEN,P,-46.60851,-23.64412,,2014-12-16
3385,23214616,IGARATÁ - Policia Militar,CEMADEN,P,-46.15531,-23.20738,,2015-08-03
3386,22974293,MARICÁ - Itaipuau,CEMADEN,P,-42.927,-22.971,,2015-08-13
3387,23214683,VÁRZEA PAULISTA - COMDEC,CEMADEN,P,-46.832,-23.211,,2014-12-11
3388,22224598,POUSO ALEGRE - Morro do Cristo,CEMADEN,P,-45.9839,-22.2218,,2014-12-12
3389,22244587,POUSO ALEGRE - Cidade Jardim,CEMADEN,P,-45.865,-22.236,,2015-08-06
3390,15865607,SANTO ANTÔNIO DO LEVERGER - Centro,CEMADEN,P,-56.07458,-15.86396,,2015-08-17
3391,23264674,FRANCISCO MORATO - Jardim Arpoador,CEMADEN,P,-46.73635,-23.26192,,2015-08-17
3392,7224456,BENEDITO LEITE - BeneditoLeite,CEMADEN,P,-44.55811,-7.22492,,2015-08-17
3393,22244254,NOVA FRIBURGO - Jardim Califórnia,CEMADEN,P,-42.536,-22.239,,2015-07-22
3394,4574513,LAGO DA PEDRA - PrefeituraMunicipal,CEMADEN,P,-45.13088,-4.5746,,2015-08-17
3395,2594419,SÃO LUÍS - UEB Roseno de Jesus Mendes,CEMADEN,P,-44.19023,-2.5929,,2015-08-17
3396,19454255,IPATINGA- Canaã,CEMADEN,P,-42.552,-19.455,,2014-12-17
3397,2574431,SÃO LUÍS - Centro de Empreendedorismo UFMA,CEMADEN,P,-44.3118,-2.5651,,2015-08-17
3398,23515154,Apucarana,Simepar,M,-51.5302,-23.5175,746.0,1999-10-01
3399,23934707,JUQUITIBA - Centro,CEMADEN,P,-47.07,-23.93,,2015-08-25
3400,24284795,SETE BARRAS - Ribeirão da Serra,CEMADEN,P,-47.948,-24.276,,2015-07-27
3401,3564459,MIRANDA DO NORTE - Prefeitura Municipal,CEMADEN,P,-44.58606,-3.56219,,2015-08-17
3402,5554748,IMPERATRIZ - Caema,CEMADEN,P,-47.47602,-5.54839,,2015-08-17
3403,7534604,BALSAS - Prefeitura Municipal,CEMADEN,P,-46.04021,-7.53341,,2015-08-17
3404,4614505,LAGO DO JUNCO - HospitalMunicipalAlcyAlvesArruda,CEMADEN,P,-45.0546,-4.61059,,2015-08-17
3405,3474391,NINA RODRIGUES - CEU Maria Quaresma Vale,CEMADEN,P,-43.90837,-3.46515,,2015-08-17
3406,21784816,ARARAQUARA - Jardim Brasil,CEMADEN,P,-48.155,-21.782,,2015-08-19
