fid,field_1,@diffgr:id,@msdata:rowOrder,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
"52","3455",Table3456,"3455",ETA - GUARAPUAVA,"65809000","6","65",00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas,GUARAPUAVA-PR,-25.3978,-51.4358,950,"65141400",RIO DAS PEDRAS,RHN,Ativo
"53","3456",Table3457,"3456",FOZ DO RIO COUTINHO,"65812000","6","65",00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,GUARAPUAVA-PR,-25.4528,-51.6358,0,"65150000",RIO JORDÃO,RHN,Ativo
"54","3457",Table3458,"3457",PCH TRÊS CAPÕES JUSANTE,"65813000","6","65",00187 - INSAM - Indústrias de Madeiras Santa Maria Ltda.-INSAM,00187 - INSAM - Indústrias de Madeiras Santa Maria Ltda.-INSAM,GUARAPUAVA-PR,-25.4675,-51.6639,898,"65150000",RIO JORDÃO,Setor Elétrico,Ativo
"55","3458",Table3459,"3458",UHE SANTA CLARA MONTANTE,"65813100","6","65",00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,GUARAPUAVA-PR,-25.4878,-51.7378,0,"65150000",RIO JORDÃO,Setor Elétrico,Ativo
"56","3459",Table3460,"3459",UHE SALTO CURUCACA BARRAMENTO,"65815040","6","65",00716 - SANTA MARIA - Santa Maria Companhia Papel e Celulose,00716 - SANTA MARIA - Santa Maria Companhia Papel e Celulose,GUARAPUAVA-PR,-25.5353,-51.8158,0,"65150000",RIO JORDÃO,Setor Elétrico,Ativo
"57","3460",Table3461,"3460",UHE SALTO CURUCACA JUSANTE,"65815050","6","65",00716 - SANTA MARIA - Santa Maria Companhia Papel e Celulose,00716 - SANTA MARIA - Santa Maria Companhia Papel e Celulose,GUARAPUAVA-PR,-25.5383,-51.8189,1000,"65150000",RIO JORDÃO,Setor Elétrico,Ativo
"58","3461",Table3462,"3461",PCH TAGUÁ,"65815060","6","65",01164 - TAGUÁ - Taguá Energia Ltda,01164 - TAGUÁ - Taguá Energia Ltda,CANDÓI-PR,-25.5044,-51.7864,887,"65150000",RIO JORDÃO,Setor Elétrico,Ativo
"59","3462",Table3463,"3462",UHE SANTA CLARA RIO PINHÃO,"65819300","6","65",00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,PINHÃO-PR,-25.6119,-51.6531,0,"65150300",RIO PINHÃO,Setor Elétrico,Ativo
"60","3463",Table3464,"3463",UHE SANTA CLARA BARRAMENTO,"65824991","6","65",00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,PINHÃO-PR,-25.6558,-51.9522,811,"65150000",RIO JORDÃO,Setor Elétrico,Ativo
"61","3464",Table3465,"3464",UHE FUNDÃO BARRAMENTO,"65825497","6","65",00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,FOZ DO JORDÃO-PR,-25.7019,-52.005,711,"65150000",RIO JORDÃO,Setor Elétrico,Ativo
"62","3465",Table3466,"3465",PCH DERIVAÇÃO DO RIO JORDÃO BARRAMENTO,"65826612","6","65",00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,RESERVA DO IGUAÇU-PR,-25.7542,-52.0872,616,"65150000",RIO JORDÃO,Setor Elétrico,Ativo
"63","3466",Table3467,"3466",PCH BARRA JUSANTE,"65826720","6","65",00376 - RIO JORDÃO - Rio Jordão Papéis S.A.,00376 - RIO JORDÃO - Rio Jordão Papéis S.A.,FOZ DO JORDÃO-PR,-25.7675,-52.0906,554,"65150000",RIO JORDÃO,Setor Elétrico,Ativo
"64","3467",Table3468,"3467",PCH TIGRE BARRAMENTO,"65831000","6","65",00661 - TIGRE - Tigre Produção de Energia Elétrica Ltda.,00661 - TIGRE - Tigre Produção de Energia Elétrica Ltda.,MANGUEIRINHA-PR,-26.0528,-52.1783,901,"65140710",RIO MARRECAS,Setor Elétrico,Ativo
