,Q_obs1,Q_obs2,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-09-01,13.84,14.893,0.0,3.169,12.7,17.764,38.053,55.612,18.444,42.054
2017-09-02,12.32,14.151,0.0,3.934,12.19,15.804,35.617,51.043,17.072,39.794
2017-09-03,10.69,12.594,0.0,4.096,11.71,14.163,33.697,46.726,15.84,37.656
2017-09-04,10.22,11.526,0.0,3.329,11.26,12.798,32.031,42.719,14.723,35.633
2017-09-05,9.6,10.902,0.0,3.06,10.84,11.667,30.572,39.052,13.706,33.719
2017-09-06,8.98,10.46,0.0,3.696,10.45,10.733,29.283,35.735,12.773,31.907
2017-09-07,8.39,9.901,0.0,3.973,10.08,9.877,28.134,32.761,11.914,30.193
2017-09-08,8.1,9.425,0.0,2.707,9.73,9.257,27.103,30.116,11.12,28.571
2017-09-09,7.51,8.692,0.01,2.475,9.4,8.733,26.173,27.776,10.385,27.036
2017-09-10,7.22,7.721,0.0,2.744,9.09,8.304,25.33,25.717,9.702,25.584
2017-09-11,7.08,7.732,0.0,3.33,8.8,7.941,24.563,23.91,9.067,24.21
2017-09-12,6.66,7.68,0.0,2.543,8.52,7.632,23.862,22.328,8.475,22.909
2017-09-13,6.53,6.958,0.0,2.302,8.26,7.303,23.219,20.945,7.923,21.679
2017-09-14,6.25,6.165,0.0,2.395,8.01,6.945,22.629,19.737,7.409,20.515
2017-09-15,5.97,5.689,0.02,2.916,7.77,6.792,22.084,18.68,6.928,19.413
2017-09-16,5.71,5.937,0.01,2.842,7.55,6.652,21.58,17.754,6.479,18.371
2017-09-17,5.45,5.634,0.0,3.093,7.34,6.522,21.113,16.94,6.06,17.384
2017-09-18,5.32,5.678,0.01,3.318,7.14,6.401,20.678,16.224,5.668,16.451
2017-09-19,5.2,5.222,0.0,3.56,6.94,6.288,20.273,15.589,5.302,15.567
2017-09-20,5.07,5.715,0.0,3.256,6.76,6.182,19.893,15.024,4.959,14.732
2017-09-21,5.07,5.389,0.0,4.326,6.59,6.082,19.536,14.519,4.639,13.941
2017-09-22,4.94,5.217,0.0,3.629,6.42,5.988,19.2,14.064,4.339,13.192
2017-09-23,4.68,4.972,5.57,3.533,8.41,6.059,18.891,13.882,4.213,12.484
2017-09-24,5.07,5.742,6.79,2.823,11.19,6.726,18.641,13.984,4.223,11.814
2017-09-25,15.59,14.619,0.02,2.973,9.34,7.865,18.485,13.973,4.014,11.18
2017-09-26,15.59,18.248,0.03,3.644,7.86,8.805,18.431,13.954,3.733,10.58
2017-09-27,11.98,14.649,1.59,3.806,7.14,9.367,18.485,13.907,3.448,10.013
2017-09-28,10.06,11.474,1.17,2.895,6.79,9.678,18.656,13.803,3.176,9.475
2017-09-29,8.83,9.59,21.79,2.919,10.45,10.398,18.946,17.149,5.669,9.476
2017-09-30,8.24,8.988,12.44,2.036,17.66,12.78,19.301,20.169,6.91,13.031
2017-10-01,12.99,13.236,0.88,2.656,15.93,15.818,19.777,22.597,6.633,16.395
2017-10-02,19.84,18.966,11.19,3.642,14.25,18.351,20.776,25.51,6.542,21.557
2017-10-03,21.38,22.24,0.35,3.552,11.77,20.432,22.538,27.422,5.809,25.932
2017-10-04,20.61,21.777,0.0,4.045,9.61,21.415,25.255,28.663,4.935,26.517
2017-10-05,15.41,17.96,0.0,3.473,8.35,21.252,28.065,29.222,4.121,27.072
2017-10-06,12.82,14.977,9.54,3.21,10.66,20.503,28.956,29.849,3.936,25.618
2017-10-07,11.5,14.278,22.95,3.241,17.77,20.566,28.994,33.607,6.613,29.495
2017-10-08,16.49,18.353,15.79,3.783,20.55,22.46,29.338,37.247,10.791,37.287
2017-10-09,34.2,33.88,22.25,4.068,26.14,31.507,29.948,43.372,17.287,50.905
2017-10-10,62.79,56.249,23.22,3.674,35.26,59.653,32.405,51.283,26.182,70.505
2017-10-11,75.81,72.872,1.43,3.804,39.12,79.546,37.828,56.596,33.473,83.798
2017-10-12,80.88,80.518,2.3,3.944,30.93,84.923,46.836,60.56,37.885,92.254
2017-10-13,85.68,81.863,11.39,3.425,26.39,82.232,57.493,63.778,41.496,95.36
2017-10-14,80.32,80.488,1.6,3.707,25.89,78.66,66.577,64.986,44.96,91.585
2017-10-15,80.04,82.255,0.16,3.348,22.43,80.113,72.634,64.748,47.226,88.013
2017-10-16,73.55,79.616,0.06,2.769,19.39,74.002,71.116,63.29,48.558,84.633
2017-10-17,60.91,67.556,0.22,2.959,17.56,67.416,64.497,60.888,49.203,80.085
2017-10-18,50.0,52.376,0.03,3.776,16.16,60.762,59.683,57.818,49.274,75.781
2017-10-19,37.62,41.121,6.1,3.688,15.68,54.536,55.078,54.605,48.969,71.709
2017-10-20,32.87,34.736,0.21,4.401,15.95,49.226,49.441,51.071,48.673,67.856
2017-10-21,28.1,30.996,39.27,3.675,23.38,53.199,45.446,58.875,57.12,71.031
2017-10-22,36.24,33.819,6.39,4.679,43.7,73.399,43.96,62.423,63.777,74.606
