,Q_obs1,Q_obs2,pme,etp,MGB,SAC,GR4,HYMOD,SMAP,IPH2
2017-08-30,32.59,32.758,0.0,3.708,37.28,45.305,48.42,61.018,44.959,55.917
2017-08-31,29.96,30.091,0.06,2.522,34.2,41.884,46.623,55.304,41.588,53.807
2017-09-01,27.77,27.836,0.5,3.042,31.72,39.109,45.0,50.377,38.82,51.851
2017-09-02,26.9,26.171,0.02,4.004,29.69,36.838,43.53,46.192,36.542,50.035
2017-09-03,26.02,25.676,0.02,3.906,28.01,34.892,42.192,42.678,34.657,48.349
2017-09-04,25.27,24.904,0.0,2.932,26.6,33.233,40.965,39.746,33.086,46.784
2017-09-05,24.53,24.044,0.0,2.773,25.41,31.824,39.833,37.308,31.768,45.33
2017-09-06,23.78,23.858,0.0,3.345,24.39,30.632,38.789,35.279,30.65,43.978
2017-09-07,23.04,22.876,0.0,3.404,23.51,29.537,37.823,33.583,29.692,42.722
2017-09-08,22.66,21.761,0.0,2.843,22.75,28.698,36.927,32.155,28.863,41.553
2017-09-09,21.92,20.933,0.0,2.462,22.07,27.971,36.092,30.941,28.137,40.466
2017-09-10,20.42,20.202,0.0,2.578,21.47,27.372,35.313,29.896,27.493,39.455
2017-09-11,19.3,19.576,0.0,3.122,20.93,26.855,34.586,28.984,26.916,38.512
2017-09-12,18.56,19.089,0.0,2.829,20.44,26.406,33.905,28.178,26.392,37.634
2017-09-13,18.56,19.153,0.0,2.134,20.0,25.946,33.265,27.453,25.912,36.815
2017-09-14,18.56,18.727,0.0,2.068,19.6,25.372,32.663,26.793,25.466,36.052
2017-09-15,18.56,18.087,0.09,3.055,19.23,25.114,32.096,26.183,25.05,35.339
2017-09-16,17.94,17.751,0.04,2.588,18.88,24.926,31.563,25.614,24.657,34.673
2017-09-17,17.63,17.701,0.0,2.728,18.56,24.738,31.058,25.077,24.284,34.05
2017-09-18,17.33,17.497,0.0,2.862,20.48,24.544,30.578,24.566,23.927,33.467
2017-09-19,17.33,17.225,0.02,3.465,24.63,24.353,30.123,24.077,23.584,32.92
2017-09-20,16.71,16.822,0.0,2.912,22.53,24.165,29.688,23.606,23.252,32.407
2017-09-21,16.71,16.48,0.0,4.093,20.94,23.979,29.273,23.15,22.931,31.925
2017-09-22,16.71,15.919,0.0,3.006,19.94,23.795,28.875,22.707,22.618,31.471
